id,原始户名,调整后户名,企业/非企业,行业代码,单位编号,是否本地,街道/镇
16757,298172c2bdfcbfdfae4147615da1ab5c3d167f5b0b8ba49cdbb8e4fe,298172c2bdfcbfdfae4147615da1ab5c3d167f5b0b8ba49cdbb8e4fe,非企业,96,17870,本地,赤岸
16758,e76704e6466d81c23d6c1134be9a7ce3362a65e3b2f818b84ddd7872,e76704e6466d81c23d6c1134be9a7ce3362a65e3b2f818b84ddd7872,非企业,72,15642,本地,城区
16759,88a6f845a8bda4aa5deaa38ee015dc1afaca7a845aa3105cf30b244e,88a6f845a8bda4aa5deaa38ee015dc1afaca7a845aa3105cf30b244e,非企业,96,17871,本地,赤岸
16760,fc5444d86eb75a8b4b6f6768473710255cfbfc5e84446a844772a80c,fc5444d86eb75a8b4b6f6768473710255cfbfc5e84446a844772a80c,非企业,96,17872,本地,上溪
16761,2ff0590608ef05db1eb8645bf0bf84dda39b7911c7fb30bd8351e1ff,2ff0590608ef05db1eb8645bf0bf84dda39b7911c7fb30bd8351e1ff,非企业,96,17873,本地,赤岸
16762,3caf4b1e61ed7fe5b462d66afea02f6a2f9d42e678762c94c0542097,3caf4b1e61ed7fe5b462d66afea02f6a2f9d42e678762c94c0542097,非企业,99,18069,,
16763,770afb1f0b42f49f5f283549bbb9927a919bf7122c1da440dfddbd22,770afb1f0b42f49f5f283549bbb9927a919bf7122c1da440dfddbd22,非企业,99,18070,,
16764,347009eb09b696e74aee1437684581812fac4bd77f26466479422cd1,347009eb09b696e74aee1437684581812fac4bd77f26466479422cd1,非企业,99,18071,,
16765,8704232a6b9d83bcf7f0d0c8a95e4aa294b3424458c2de3dd673d212,8704232a6b9d83bcf7f0d0c8a95e4aa294b3424458c2de3dd673d212,非企业,99,18072,,
16766,9b9a33b26bcd877a081c8a80f13741d332e241252e5358d216ca37ff,9b9a33b26bcd877a081c8a80f13741d332e241252e5358d216ca37ff,非企业,95,16898,本地,城区
16767,9b4ca1685a74397dcf778130d2529de8bd9894ca96fd9a8465350962,9b4ca1685a74397dcf778130d2529de8bd9894ca96fd9a8465350962,非企业,96,17874,本地,大陈
16768,161ca77e5e1c495d2eb695ed9620f2bfe2071525faf7a263d9e115da,161ca77e5e1c495d2eb695ed9620f2bfe2071525faf7a263d9e115da,非企业,96,17875,本地,大陈
16769,34435f3529546f7aa6b9af748a07081aa6291bf30d8efd2783322ead,34435f3529546f7aa6b9af748a07081aa6291bf30d8efd2783322ead,非企业,99,18073,,
16770,ee07adf7542b06e919742ff587df7313c3dd0c0f9cc2822e4bae0ea2,ee07adf7542b06e919742ff587df7313c3dd0c0f9cc2822e4bae0ea2,非企业,95,16899,本地,城区
16771,99ea018c25646386443601fe2a7294bcc2c632cb3204755130fa7185,99ea018c25646386443601fe2a7294bcc2c632cb3204755130fa7185,非企业,99,18074,,
16772,4832c943539b4a8ec99d4a079961c3b1a8fc60cd68a7b27e764230ea,4832c943539b4a8ec99d4a079961c3b1a8fc60cd68a7b27e764230ea,非企业,99,18075,,
16773,bbc095489ee162b3f45c0088fe44fa9f045bc08d702888350d0f0d28,bbc095489ee162b3f45c0088fe44fa9f045bc08d702888350d0f0d28,非企业,99,18076,,
16774,ca3321089a738d41f57ad57dcb3c0dad7b8466737354de38374e8110,ca3321089a738d41f57ad57dcb3c0dad7b8466737354de38374e8110,非企业,95,16900,本地,佛堂
16775,2d0bed2cd2bab8f3ca6c36fab555b24fe606650c275a37ad6ca1c07a,2d0bed2cd2bab8f3ca6c36fab555b24fe606650c275a37ad6ca1c07a,非企业,96,17876,本地,大陈
16776,cae19888ea2b78aa481abb58fd6fb3d03872b7e8f0fa1e91ff8c2a43,cae19888ea2b78aa481abb58fd6fb3d03872b7e8f0fa1e91ff8c2a43,非企业,95,16901,本地,城区
16777,a17d35dd6da02c04e9fdf7761c28c0bead386ec47506fa6abd000a94,a17d35dd6da02c04e9fdf7761c28c0bead386ec47506fa6abd000a94,非企业,88,16798,本地,苏溪
