company,adjusted,code,industry,type,area,总人口,财政总收入,人均财政收入,地区编号
5bd78e7d8d6c1080fff1a18e5c0e5f347d43cda7464cb93339581c1b,5bd78e7d8d6c1080fff1a18e5c0e5f347d43cda7464cb93339581c1b,889,52,E,城区,966304,344290,3562,1
a410ce370b8484efe9f6a25d032bc3fd7641534f4df1565230bd57bc,a410ce370b8484efe9f6a25d032bc3fd7641534f4df1565230bd57bc,890,51,E,城区,966304,344290,3562,1
72dcbb5b1ca9c0dc5a1ea9adcb7a86c7f69423a081de1b621e7cb8f5,72dcbb5b1ca9c0dc5a1ea9adcb7a86c7f69423a081de1b621e7cb8f5,891,52,E,城区,966304,344290,3562,1
eabd798c8c1b0df96aca7b6881fce413826ac12ecc27338cc66fbe21,eabd798c8c1b0df96aca7b6881fce413826ac12ecc27338cc66fbe21,892,2,E,廿三里,99084,23020,2323,10
8862f6d99373c5d86495ff0b336eb18886ac2cd3d2896e313a9b7979,8862f6d99373c5d86495ff0b336eb18886ac2cd3d2896e313a9b7979,893,51,E,城区,966304,344290,3562,1
9b9a33b26bcd877a081c8a80f13741d332e241252e5358d216ca37ff,9b9a33b26bcd877a081c8a80f13741d332e241252e5358d216ca37ff,894,95,P,城区,966304,344290,3562,1
0638eea51b40d823d0ee33328eb14a81474adb6bc2b8c41c0a5eafde,0638eea51b40d823d0ee33328eb14a81474adb6bc2b8c41c0a5eafde,895,95,P,城区,966304,344290,3562,1
c784ff942c54c26c89a7b7ca067474069d842069bc60823402e49847,c784ff942c54c26c89a7b7ca067474069d842069bc60823402e49847,896,24,E,苏溪,74950,16888,2253,8
18746b1a3939f9dcb362724366d7117f266dabed96f4f462e84aee99,18746b1a3939f9dcb362724366d7117f266dabed96f4f462e84aee99,897,23,E,城区,966304,344290,3562,1
ec978a7562eb168d605d1119038f1ae4e5a1efae957359795724dae7,ec978a7562eb168d605d1119038f1ae4e5a1efae957359795724dae7,898,51,E,廿三里,99084,23020,2323,10
635bbad352a8e6fb34e3530a2ca9a1e1f0dcb4b3dad66c13f3118a7c,635bbad352a8e6fb34e3530a2ca9a1e1f0dcb4b3dad66c13f3118a7c,899,51,E,城区,966304,344290,3562,1
edddbcfefcbc70be8ca6b9342f5f4d4fdbcb5530c39030e7f59caee5,edddbcfefcbc70be8ca6b9342f5f4d4fdbcb5530c39030e7f59caee5,900,72,E,城区,966304,344290,3562,1
a95b5a193b7c29f5a58790968a0d77ddfb1e4116b63dab9126073c83,a95b5a193b7c29f5a58790968a0d77ddfb1e4116b63dab9126073c83,901,96,P,城区,966304,344290,3562,1
e08400573fdc18f559c1f9e26525cfc753d389c650113f899d16fd9a,e08400573fdc18f559c1f9e26525cfc753d389c650113f899d16fd9a,902,96,P,后宅,125147,15308,1223,2
da281501bbe2a3e30d049099503f805b512e35e7c24d214f1228e3e8,da281501bbe2a3e30d049099503f805b512e35e7c24d214f1228e3e8,903,96,P,城区,966304,344290,3562,1
20e64fa9c4c92f02c061b14c63356326fcc417569eb0d690d1d33608,20e64fa9c4c92f02c061b14c63356326fcc417569eb0d690d1d33608,904,96,P,城区,966304,344290,3562,1
4032324a680dff044633585fff146bb64273a8876854d4f87c83e8cd,4032324a680dff044633585fff146bb64273a8876854d4f87c83e8cd,905,51,E,城区,966304,344290,3562,1
8449854d74e38b827f3c1cde825e01748f8427c35d0b53c901e74238,8449854d74e38b827f3c1cde825e01748f8427c35d0b53c901e74238,906,17,E,城区,966304,344290,3562,1
a6372ba13ab0b683462ddbe4eb13b1fb4cef42b2739a51432f1d4225,a6372ba13ab0b683462ddbe4eb13b1fb4cef42b2739a51432f1d4225,907,17,E,城区,966304,344290,3562,1
539053f8bf6153d5bb28d7da095f3aa3e226b293d3b018f470cfb23e,539053f8bf6153d5bb28d7da095f3aa3e226b293d3b018f470cfb23e,908,51,E,城区,966304,344290,3562,1
0cef014655a48eebc3e036712d5732f4b9a40c42210bc3b5ee0c4b96,0cef014655a48eebc3e036712d5732f4b9a40c42210bc3b5ee0c4b96,909,22,E,城西,71650,14791,2064,6
938dc848513e843052a422f6c915a9c2dea56ed8bcd0b496bf7fd1b8,938dc848513e843052a422f6c915a9c2dea56ed8bcd0b496bf7fd1b8,910,96,P,佛堂,172382,45347,2630,3
d7e232299c19214d6237a93a8529486f49d9477e300a90bc21d718a0,a8f21238b3bc7cb6bc1b1e5dbd135ab481231e05f271ce425c3529a2,911,29,E,城区,966304,344290,3562,1
5c506f90aec35aa60400ebe15e6d975724d780aa80068bec2809c86a,5c506f90aec35aa60400ebe15e6d975724d780aa80068bec2809c86a,912,26,E,城区,966304,344290,3562,1
4e2ba766db2d3e43b59726021f207bb22cd89c51f1585bf9605ced8c,4e2ba766db2d3e43b59726021f207bb22cd89c51f1585bf9605ced8c,913,51,E,城区,966304,344290,3562,1
2db238bfcf41cc3f579ef8be068cf9280728be5f6b07c981536ef68c,2db238bfcf41cc3f579ef8be068cf9280728be5f6b07c981536ef68c,914,51,E,城区,966304,344290,3562,1
